"cluster","vd","capac_prod","prac_empre","abs_ih","prop_calif","gest_rrhh","orga_tec","prop_capac","vinc_inst","d_especinsum","d_especproce","d_trazabilidad","d_problemas","d_mejoracont","d_diseno","d_deptoid","d_montcomp","d_montec","prop_prof","prop_tec","d_rrhhdto","d_perffor","d_evaldes","d_sistemas","d_sapoydec","d_softgest","capacit_nojer","capacit_ger","capacit_sup","d_vincpub","d_vincfir","d_vincase","tam_mue","k_inac","rama_act","exporta","innovo","ing","dai","did","empleo","tc.va.tr","tc.empleo","tc.ventas"
"4",TRUE,3,3,3,26.8526062758695,3,2,33.3333333333333,0,1,1,1,1,1,1,1,1,1,26.5549013510508,27.1503112006883,1,1,1,1,0,1,20,50,30,0,0,0,"Grande",1,"Farmaceuticas",1,1,294457143.456807,1,0,NA,91.7761638813205,NA,38.4948898413027
"4",TRUE,3,3,2,27.2012578616352,3,3,100,2,1,1,1,1,1,1,1,0,1,40.0943396226415,14.3081761006289,1,1,1,1,1,1,100,100,100,1,1,0,"Grande",1,"Productos quimicos",1,1,294457143.456807,1,0,NA,67.7628095352248,NA,38.4948898413027
"3",FALSE,3,0,2,6.45260240299172,3,2,25,0,1,1,1,0,0,0,0,1,1,12.9052048059834,0,1,1,1,1,0,1,70,5,0,0,0,0,"Grande",NA,"Confecciones",1,0,294457143.456807,0,0,NA,62.9265635862823,NA,38.4948898413027
"4",TRUE,3,3,3,27.76843087525,1,2,60,3,1,1,1,1,1,1,1,1,1,31.6110132606168,23.9258484898833,1,0,0,0,1,1,80,20,80,1,1,1,"Grande",0,"Farmaceuticas",1,0,62115999.8907434,1,1,279.222222222222,33.210554875498,9.17992656058753,58.9160506428114
"2",FALSE,3,3,2,5.75344985398656,1,0,50,1,1,1,1,1,1,1,0,1,1,3.88363474759658,7.62326496037653,1,0,0,0,0,0,30,50,70,1,0,0,"Grande",NA,"Edicion",0,1,NA,1,0,230.888888888889,NA,3.67647058823514,NA
"4",TRUE,3,3,2,35.0698267876182,3,3,73.3333333333333,3,1,1,1,1,1,1,0,1,1,31.983115725447,38.1565378497894,1,1,1,1,1,1,40,100,80,1,1,1,"Grande",1,"Farmaceuticas",1,0,294457143.456807,1,1,NA,-38.801128079118,NA,38.4948898413027
"4",TRUE,3,3,3,41.7419962335217,3,3,43.3333333333333,3,1,1,1,1,1,1,1,1,1,45.6705116133082,37.8134808537351,1,1,1,1,1,1,40,30,60,1,1,1,"Grande",0,"Productos quimicos",1,1,108448888.251018,1,0,284.222222222222,24.5782814867912,2.29468599033803,43.5664872196379
"4",TRUE,3,3,2,6.022321690182,2,3,20,3,1,1,1,1,1,1,1,1,1,5.47688175457658,6.56776162578742,1,1,0,1,1,1,20,20,20,1,1,1,"Grande",0,"Productos lacteos",1,1,294457143.456807,1,1,NA,40.0504661848011,NA,38.4948898413027
"4",FALSE,3,3,3,11.1914933527158,3,3,90,3,1,1,1,1,1,1,1,1,1,11.4300906466805,10.9528960587511,1,1,1,1,1,1,90,95,85,1,1,1,"Grande",1,"Productos de caucho y plastico",1,0,294457143.456807,1,0,NA,0.312147436404206,NA,38.4948898413027
"3",FALSE,3,1,1,10.9101868912872,2,3,1.66666666666667,3,1,1,1,1,0,0,0,0,1,20.2034219531456,1.6169518294288,1,1,0,1,1,1,5,0,0,1,1,1,"Grande",0,"Productos de caucho y plastico",1,1,20906414.1137184,1,0,124,38.2025050509734,-11.4503816793893,58.3630921347645
"4",TRUE,3,3,3,18.0466941793522,3,3,100,2,1,1,1,1,1,1,1,1,1,32.8667799754503,3.22660838325409,1,1,1,1,1,1,100,100,100,0,1,1,"Grande",1,"Productos quimicos",1,1,156022629.507507,1,0,329.666666666667,45.0419575821835,18.2119205298013,49.248006598695
"4",FALSE,3,3,3,9.12024717811519,3,3,38.3333333333333,2,1,1,1,1,1,1,1,1,1,10.9978155475391,7.24267880869131,1,1,1,1,1,1,60,35,20,1,1,0,"Grande",NA,"Frigorificos",1,1,294457143.456807,1,0,NA,180.646392756656,NA,38.4948898413027
"4",FALSE,3,3,2,48.5579763021648,3,2,100,2,1,1,1,1,1,1,0,1,0,97.1159526043295,0,1,1,1,1,0,1,100,100,100,1,0,1,"Grande",1,"Material electrico, radio, television",0,0,294457143.456807,1,0,185.333333333333,76.661597487965,-18.8405797101449,38.4948898413027
"4",TRUE,3,3,3,16.8261926869513,3,3,47.3333333333333,3,1,1,1,1,1,1,1,1,1,14.2820849807579,19.3703003931448,1,1,1,1,1,1,58,28,56,1,1,1,"Grande",0,"Alimentos",1,1,294457143.456807,1,1,NA,17.2331860322932,NA,38.4948898413027
"4",TRUE,3,3,2,11.1162966780334,3,2,91.3333333333333,3,1,1,1,1,1,1,1,1,1,3.83855019312232,18.3940431629445,1,1,1,1,0,1,90,92,92,1,1,1,"Grande",1,"Papel",0,1,294457143.456807,1,0,NA,59.2320636025526,NA,38.4948898413027
"4",TRUE,3,3,3,15.4693291244746,3,3,100,3,1,1,1,1,1,1,1,1,0,27.7450093694397,3.19364887950959,1,1,1,1,1,1,100,100,100,1,1,1,"Grande",1,"Maquinaria y equipo",1,1,294457143.456807,1,0,NA,70.2869418813767,NA,38.4948898413027
"4",TRUE,2,3,2,35.2916973240909,3,3,66.6666666666667,3,0,1,1,1,1,1,0,1,1,51.2045678486448,19.378826799537,1,1,1,1,1,1,50,100,50,1,1,1,"Grande",0,"Edicion",0,1,49062234.4611015,1,0,257.222222222222,46.8450581361785,-1.54838709677418,34.4591027944401
"4",TRUE,3,3,3,37.3324018064675,3,3,93.3333333333333,3,1,1,1,1,1,1,1,1,1,8.96959409428039,65.6952095186547,1,1,1,1,1,1,80,100,100,1,1,1,"Grande",1,"Otros minerales no metalicos",0,1,294457143.456807,1,0,NA,48.1941556313468,NA,38.4948898413027
"4",FALSE,2,3,2,7.82348202482289,2,3,30,3,0,1,1,1,1,1,0,1,1,9.15597601630515,6.49098803334063,1,1,0,1,1,1,40,20,30,1,1,1,"Grande",1,"Autopartes",0,0,294457143.456807,1,0,NA,75.2682579174404,NA,38.4948898413027
"4",FALSE,3,3,2,21.5307982401006,3,3,83.3333333333333,2,1,1,1,1,1,1,1,0,0,36.3238529226901,6.737743557511,1,1,1,1,1,1,70,80,100,0,1,1,"Grande",1,"Maquinaria y equipo",1,1,294457143.456807,1,0,346.222222222222,47.9466109900802,7.32714138286905,38.4948898413027
"3",TRUE,1,2,3,23.0185669364004,1,3,33.3333333333333,1,0,0,1,1,0,1,1,1,1,32.9552940362875,13.0818398365133,1,0,0,1,1,1,50,0,50,0,1,0,"Grande",0,"Edicion",0,0,79762524.3665373,1,0,257.222222222222,62.198774747815,-1.54838709677418,57.5319539828099
"4",FALSE,3,0,2,35.7542800474673,3,3,66.6666666666667,0,1,1,1,0,0,0,0,1,1,21.4525987764576,50.0559613184771,1,1,1,1,1,1,60,50,90,0,0,0,"Grande",1,"Farmaceuticas",1,0,188243273.898363,0,0,192.222222222222,53.502779177597,34.7389558232934,114.060934551471
"4",FALSE,3,3,3,26.3695721344828,3,3,100,0,1,1,1,1,1,1,1,1,1,23.7270694628687,29.012074806097,1,1,1,1,1,1,100,100,100,0,0,0,"Grande",1,"Maquina herramienta en general",1,1,294457143.456807,1,0,NA,-3.6303450637047,NA,38.4948898413027
"4",FALSE,3,3,2,32.3566086222173,3,2,20.3333333333333,0,1,1,1,1,1,1,0,1,1,43.9923275351185,20.720889709316,1,1,1,1,0,1,26,21,14,0,0,0,"Grande",0,"Farmaceuticas",1,1,294457143.456807,1,0,NA,56.9417414723574,NA,38.4948898413027
"4",FALSE,3,2,2,12.6364585120964,1,3,36.6666666666667,2,1,1,1,1,0,1,0,1,1,11.8097984308878,13.4631185933051,1,0,0,1,1,1,60,0,50,0,1,1,"Grande",0,"Otros minerales no metalicos",1,1,294457143.456807,1,0,NA,55.7525955011901,NA,38.4948898413027
